m.label,n.label,omop_concept_id,complementary
Benign Neoplasm of Brain and CNS Disorder Value Set,Hemangioma of intracranial structures,441246,
Benign Neoplasm of Brain and CNS Disorder Value Set,"Benign neoplasm of meninges, unspecified",4003171,
Benign Neoplasm of Brain and CNS Disorder Value Set,BENIGN NEOPLASM OF BRAIN AND OTHER PARTS OF CENTRAL NERVOUS SYSTEM,372849,
Benign Neoplasm of Brain and CNS Disorder Value Set,"Benign neoplasm of brain, infratentorial",601111,
Benign Neoplasm of Brain and CNS Disorder Value Set,"Benign neoplasm of brain, unspecified",379769,
Benign Neoplasm of Brain and CNS Disorder Value Set,Benign neoplasm of cranial nerves,436936,
Benign Neoplasm of Brain and CNS Disorder Value Set,Benign neoplasm of other specified parts of central nervous system,435506,
Benign Neoplasm of Brain and CNS Disorder Value Set,"Benign neoplasm of central nervous system, unspecified",4239871,
Benign Neoplasm of Brain and CNS Disorder Value Set,"Neoplasm of uncertain behavior of meninges, unspecified",438997,
Benign Neoplasm of Brain and CNS Disorder Value Set,"Neoplasm of uncertain behavior of brain, supratentorial",4094118,
Benign Neoplasm of Brain and CNS Disorder Value Set,"Neoplasm of uncertain behavior of brain, infratentorial",4096519,
Benign Neoplasm of Brain and CNS Disorder Value Set,"Neoplasm of uncertain behavior of brain, unspecified",4313365,
Benign Neoplasm of Brain and CNS Disorder Value Set,Neoplasm of uncertain behavior of cranial nerves,4313379,
Benign Neoplasm of Brain and CNS Disorder Value Set,Neoplasm of uncertain behavior of other specified parts of central nervous system,4315940,
Benign Neoplasm of Brain and CNS Disorder Value Set,"Neoplasm of uncertain behavior of central nervous system, unspecified",4315940,
Benign Neoplasm of Brain and CNS Disorder Value Set,null,,
Body Location and Laterality Qualifier Value Set,Entire (qualifier value),,
Body Location and Laterality Qualifier Value Set,null,,
Body Location Qualifier Value Set,null,,
Brachytherapy High Dose Rate Electronic Technique Value Set,Interstitial brachytherapy (procedure),4012485,
Brachytherapy High Dose Rate Electronic Technique Value Set,Intensity modulated intracavitary brachytherapy (procedure),607943,
Brachytherapy High Dose Rate Electronic Technique Value Set,Surface brachytherapy (procedure),4031196,
Brachytherapy High Dose Rate Electronic Technique Value Set,Radiotherapy - intraoperative control (procedure),4059385,
Brachytherapy High Dose Rate Electronic Technique Value Set,Intraluminal brachytherapy (procedure),4292697,
Brachytherapy High Dose Rate Electronic Technique Value Set,Intracavitary brachytherapy (procedure),4293738,
Brachytherapy High Dose Rate Technique Value Set,Interstitial brachytherapy (procedure),4012485,
Brachytherapy High Dose Rate Technique Value Set,Intensity modulated intracavitary brachytherapy (procedure),607943,
Brachytherapy High Dose Rate Technique Value Set,Intravascular brachytherapy (procedure),607944,
Brachytherapy High Dose Rate Technique Value Set,Surface brachytherapy (procedure),4031196,
Brachytherapy High Dose Rate Technique Value Set,Radiotherapy - intraoperative control (procedure),4059385,
Brachytherapy High Dose Rate Technique Value Set,Intraluminal brachytherapy (procedure),4292697,
Brachytherapy High Dose Rate Technique Value Set,Intracavitary brachytherapy (procedure),4293738,
Brachytherapy Low Dose Rate Temporary Radation Technique Value Set,Interstitial brachytherapy (procedure),4012485,
Brachytherapy Low Dose Rate Temporary Radation Technique Value Set,Surface brachytherapy (procedure),4031196,
Brachytherapy Low Dose Rate Temporary Radation Technique Value Set,Intracavitary brachytherapy (procedure),4293738,
Brachytherapy Modality Value Set,Pulsed dose rate brachytherapy (procedure),607945,
Brachytherapy Modality Value Set,Low dose rate brachytherapy using temporary radioactive source (procedure),604266,
Brachytherapy Modality Value Set,Internal radiotherapy - permanent seeds (procedure),4058612,
Brachytherapy Modality Value Set,High dose brachytherapy (procedure),4216178,
Brachytherapy Modality Value Set,High dose rate electronic brachytherapy (procedure),4232844,
Brachytherapy Modality Value Set,Administration of radiopharmaceutical (procedure),4260242,
Brachytherapy Permanent Seeds Technique Value Set,Interstitial brachytherapy (procedure),4012485,
Brachytherapy Pulsed Dose Rate Technique Value Set,Interstitial brachytherapy (procedure),4012485,
Brachytherapy Pulsed Dose Rate Technique Value Set,Intracavitary brachytherapy (procedure),4293738,
Brachytherapy Radiopharmaceutical Technique Value Set,Interstitial brachytherapy (procedure),4012485,
Brachytherapy Radiopharmaceutical Technique Value Set,Intravascular brachytherapy (procedure),607944,
Brachytherapy Radiopharmaceutical Technique Value Set,Oral radionuclide therapy (procedure),36713073,
Brachytherapy Radiopharmaceutical Technique Value Set,Intracavitary brachytherapy (procedure),4293738,
Brachytherapy Technique Value Set,null,,
Brachytherapy Technique Value Set,null,,
Brachytherapy Technique Value Set,null,,
Brachytherapy Technique Value Set,null,,
Brachytherapy Technique Value Set,null,,
Brachytherapy Technique Value Set,null,,
Cancer Body Location Value Set,null,,
Cancer Disease Status Evidence Type Value Set,null,,
Cancer Disorder Value Set,null,,
Cancer Disorder Value Set,null,,
Cancer Disorder Value Set,null,,
Cancer-Related Surgical Procedure Value Set,null,,
Cancer Stage Value Set,Walter Reed stage 3 (tumor staging),4029459,
Cancer Stage Value Set,Walter Reed stage 2 (tumor staging),4051732,
Cancer Stage Value Set,Walter Reed stage 1 (tumor staging),4171388,
Cancer Stage Value Set,Walter Reed stage 5 (tumor staging),4280223,
Cancer Stage Value Set,Walter Reed stage 4 (tumor staging),4252744,
Cancer Stage Value Set,Walter Reed stage 6 (tumor staging),4306465,
Cancer Stage Value Set,null,,
Cancer Staging Method Value Set,International Staging System for multiple myeloma (staging scale),607125,
Cancer Staging Method Value Set,Revised International Staging System for multiple myeloma (staging scale),607126,
Cancer Staging Method Value Set,Extent of disease (attribute),4084403,
Cancer Staging Method Value Set,The revised European-American Lymphoma classification (qualifier value),4302786,
Cancer Staging Method Value Set,The World Health Organization classification of lymphoid malignancies (qualifier value),4304414,
Cancer Staging Method Value Set,null,,
Cancer Stage Type Value Set,Modified Dukes stage (observable entity),4011480,
Cancer Stage Type Value Set,Dukes stage (observable entity),4295640,
Cancer Stage Type Value Set,International neuroblastoma staging system stage (observable entity),4252875,
Cancer Stage Type Value Set,null,,
Carcinoma In-Situ Disorder Value Set,"CARCINOMA IN SITU OF ORAL CAVITY, ESOPHAGUS AND STOMACH",,Y
Carcinoma In-Situ Disorder Value Set,"Carcinoma in situ of lip, oral cavity and pharynx",441819,
Carcinoma In-Situ Disorder Value Set,"Carcinoma in situ of oral cavity, unspecified site",4243266,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of labial mucosa and vermilion border,4291452,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of gingiva and edentulous alveolar ridge,4291452,
Carcinoma In-Situ Disorder Value Set,CARCINOMA IN SITU OF OTHER AND UNSPECIFIED DIGESTIVE ORGANS,,Y
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of anus and anal canal,44503373,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of other and unspecified parts of intestine,192291,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of unspecified part of intestine,192291,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of other parts of intestine,192291,
Carcinoma In-Situ Disorder Value Set,"Carcinoma in situ of liver, gallbladder and bile ducts",192292,
Carcinoma In-Situ Disorder Value Set,Carcinoma in situ of other specified digestive organs,196064,
Carcinoma In-Situ Disorder Value Set,"Carcinoma in situ of digestive organ, unspecified",196064,
Carcinoma In-Situ Disorder Value Set,CARCINOMA IN SITU OF MIDDLE EAR AND RESPIRATORY SYSTEM,,Y
